name,division,location,notice_date,start_day,end_day,release_date,rink
르엘 신반포 파크애비뉴,민영,서울특별시 서초구 강남대로107길 14 (잠원동),2020-05-28,2020-06-08,2020-06-10,2020-06-16,http://leel-sinbanpo-parkavenue.co.kr/
부평 SK VIEW 해모로,민영,인천광역시 부평구 동수천로67번길 12-1 (부개동),2020-05-29,2020-06-08,2020-06-10,2020-06-16,http://www.bpskh.co.kr
사송더샵데시앙2차(B-7BL),민영,경상남도 양산시 동면 양산사송택지개발지구 B-5BL,2020-06-12,2020-06-22,2020-06-24,2020-07-01,http://www.사송더샵데시앙2차.com/
사송더샵데시앙2차(B-5BL),민영,경상남도 양산시 동면 양산사송택지개발지구 B-5BL,2020-06-12,2020-06-22,2020-06-24,2020-07-02,http://www.사송더샵데시앙2차.com/
사송더샵데시앙2차(B-6BL),민영,경상남도 양산시 동면 양산사송택지개발지구 B-6BL,2020-06-12,2020-06-22,2020-06-24,2020-06-30,http://www.사송더샵데시앙2차.com
힐스테이트 광산,민영,광주광역시 광산구 어등대로647번길 41 (소촌동),2020-06-19,2020-06-29,2020-07-01,2020-07-07,http://www.hillstate-hec.co.kr/gwangsan
이안 센트럴포레 장유 2단지,민영,경상남도 김해시 삼문동 1069,2020-05-29,2020-06-08,2020-06-10,2020-06-16,http://iaanjy.com
광양센트럴자이,민영,전라남도 광양시 성황·도이 도시개발사업지구 L-2블록,2020-05-28,2020-06-10,2020-06-12,2020-06-18,http://gycentral-xi.com
이안 센트럴포레 장유 1단지,민영,경상남도 김해시 삼문동 903,2020-05-29,2020-06-08,2020-06-10,2020-06-16,http://iaanjy.com
검암역 로열파크씨티 푸르지오 2단지,민영,인천광역시 서구 백석동 한들구역 도시개발사업 2블럭1로트,2020-05-27,2020-06-08,2020-06-10,2020-06-16,http://royalparkcity.co.kr
검암역 로열파크씨티 푸르지오 1단지,민영,인천광역시 서구 백석동 한들구역 도시개발사업1블럭1로트,2020-05-27,2020-06-08,2020-06-10,2020-06-17,http://royalparkcity.co.kr/
연동 백강 스위트엠1,민영,제주특별자치도 제주시 연동 253-36번지,2020-05-29,2020-06-08,2020-06-09,2020-06-15,http://ydbk-sweetm1.com
공항동 발쿠치네 하우스,민영,서울특별시 강서구 송정로 53 (공항동),2020-06-05,2020-06-16,2020-06-19,2020-06-24,http://www.vcucinehouse.co.kr/
영동내지브로아파트,민영,충청북도 영동군 영동읍 계산로 101 ,2020-05-25,2020-06-04,2020-06-08,2020-06-12,
평택소사벌 A-5BL 국민임대주택,국민,경기도 평택시 만세로 1754-113 (비전동),2020-05-25,2020-06-08,2020-06-17,2020-09-08,
춘천우두3 국민임대,국민,"강원도 춘천시 우두1길 40 (우두동, 춘천우두엘에이치천년나무3단지)",2020-05-25,2020-06-08,2020-06-16,2020-09-22,
e편한세상 무등산,민영,광주광역시 동구 학소로42번길 40 (소태동),2020-05-29,2020-06-11,2020-06-15,2020-06-19,https://www.kdc-apt.co.kr
수원고등 A-1블록 5년 분양전환공공임대주택,국민,경기도 수원시 팔달구 고등동 270-7,2020-05-22,2020-06-03,2020-06-05,2020-06-18,https://www.lh.or.kr
화서역 푸르지오 브리시엘,민영,수원시 장안구 정자동 111 일원,2020-05-22,2020-06-01,2020-06-04,2020-06-10,https://www.prugio.com/house/2020/hwaseo
북청라 하우스토리,민영,"인천광역시 서구 경서동 경서2도시개발구역 1블럭 1, 2, 3 롯트",2020-06-08,2020-06-18,2020-06-19,2020-06-25,http://www.cn-haustory.co.kr
기흥 푸르지오 포레피스,민영,경기도 용인시 기흥구 영덕동 산111-1 일원,2020-07-15,2020-07-27,2020-07-30,2020-08-06,https://www.prugio.com/house/2020/giheung
화성남양뉴타운C-2BL 리젠시빌란트,민영,경기도 화성시 남양읍 남양리 2310,2020-05-29,2020-06-08,2020-06-10,2020-06-19,http://ny-rantt.co.kr/
청주동남A1BL 국민임대,국민,충청북도 청주시 상당구 호미로 137 (용암동),2020-05-25,2020-06-08,2020-06-15,2020-09-28,
더샵 광주포레스트,민영,광주광역시 북구 동문대로249번길 13 (문흥동),2020-05-28,2020-06-10,2020-06-12,2020-06-18,http://더샵광주포레스트.com
더샵 송도센터니얼,민영,인천광역시 연수구 송도동 105-2번지 (송도국제도시 F19-1BL),2020-05-21,2020-06-03,2020-06-05,2020-06-10,http://더샵송도센터니얼.kr/
남부민풀리페 국민임대아파트,국민,"부산광역시 서구 해돋이로 23 (남부민동, 풀리페)",2020-05-22,2020-06-01,2020-06-05,2020-08-04,https://www.bmc.busan.kr/bmc/bbs/list.do?ptIdx=769&mId=0702000000
파주와동 A1블록 신혼희망타운(추가),국민,경기도 파주시 와동동 14392번지 일원 파주와동지구 내 A1블록,2020-05-29,2020-06-08,2020-06-09,2020-06-24,https://pj-weddingtown.co.kr
상도역 롯데캐슬,민영,서울특별시 동작구 상도동 159-250번지 일원,2020-05-22,2020-06-15,2020-06-17,2020-06-23,http://www.lottecastle.co.kr
동대구 해모로 스퀘어 이스트,민영,대구광역시 동구 신암동 81-1번지 일원,2020-05-21,2020-06-02,2020-06-04,2020-06-11,http://ddg-haemoro.com/
부산기장 A2블록 신혼희망타운(추가),국민,부산광역시 기장군 기장읍,2020-05-19,2020-05-28,2020-05-29,2020-06-10,http://www.기장신혼희망타운.com
번영로 하늘채 센트럴파크,민영,울산광역시 남구 여천로5번길 46,2020-06-05,2020-06-15,2020-06-17,2020-06-23,http://www.번영로센트럴파크.com
군산신역세권A-2블록 국민임대,국민,전라북도 군산시 내흥동 492-11번지 일원 군산신역세권 A-2블록,2020-05-21,2020-06-03,2020-06-05,2020-08-28,
